#####,,Name,Type,Location,Region I,Season,Date,Time ,Time of Day,Duration,Recorder,Microphones,Configuration,Sample Rate,Bit Depth,Region,Region III,Region IV
100,24,,,,,,,,,0.968877314814815,,,,,,,,
00026,✄,WT_AUD_WLD_NA_00026_air,Air,"Adirondack Park, NY",Northern Forests,Fall,42653,0.614583333333333,Afternoon,0.00539351851851852,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 2,
00027,✄,WT_AUD_WLD_NA_00027_air,Air,"Adirondack Park, NY",Northern Forests,Fall,42653,N/A,Afternoon,0.00846064814814815,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 2,
00028,,WT_AUD_WLD_NA_00028_air,Air,"Green Mountain NF, VT",Northern Forests,Fall,42654,N/A,Afternoon,0.0111574074074074,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 1,
00029,,WT_AUD_WLD_NA_00029_air,Air,"Green Mountain NF, VT",Northern Forests,Fall,42654,N/A,Afternoon,0.00927083333333333,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 1,
00030,,WT_AUD_WLD_NA_00030_air,Air,"Green Mountain NF, VT",Northern Forests,Fall,42654,N/A,Afternoon,0.00971064814814815,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 1,
00031,,WT_AUD_WLD_NA_00031_wat,Water,"Green Mountain NF, VT",Northern Forests,Fall,42654,N/A,Afternoon,0.00546296296296296,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 1,
00032,,WT_AUD_WLD_NA_00032_wat,Water,"Green Mountain NF, VT",Northern Forests,Fall,42654,N/A,Afternoon,0.00556712962962963,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 1,
00033,,WT_AUD_WLD_NA_00033_wat,Water,"Green Mountain NF, VT",Northern Forests,Fall,42654,N/A,Afternoon,0.00607638888888889,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 1,
00034,,WT_AUD_WLD_NA_00034_wat,Water,"Green Mountain NF, VT",Northern Forests,Fall,42654,0.583333333333333,Afternoon,0.00671296296296296,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 1,
00035,,WT_AUD_WLD_NA_00035_wat,Water,"Green Mountain NF, VT",Northern Forests,Fall,42654,N/A,Afternoon,0.0034375,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 1,
00036,,WT_AUD_WLD_NA_00036_wat,Water,"Green Mountain NF, VT",Northern Forests,Fall,42654,N/A,Afternoon,0.00310185185185185,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 1,
00037,,WT_AUD_WLD_NA_00037_hyb,Hybrid,"Green Mountain NF, VT",Northern Forests,Fall,42654,N/A,Afternoon,0.00353009259259259,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 1,
00038,,WT_AUD_WLD_NA_00038_hyb,Hybrid,"Green Mountain NF, VT",Northern Forests,Fall,42654,N/A,Afternoon,0.00670138888888889,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 1,
00039,,WT_AUD_WLD_NA_00039_wat,Water,"Green Mountain NF, VT",Northern Forests,Fall,42654,N/A,Afternoon,0.00409722222222222,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 1,
00040,,WT_AUD_WLD_NA_00040_wat,Water,"Green Mountain NF, VT",Northern Forests,Fall,42654,N/A,Afternoon,0.00349537037037037,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 1,
00041,,WT_AUD_WLD_NA_00041_air,Air,"Moosehead Lake, ME ",Northern Forests,Fall,42660,0.6375,Afternoon,0.00708333333333333,702T+744T,8040 + 8070,ORTF+AB,48 Khz,24 Bit,Northeastern,Region 1,
00042,,WT_AUD_WLD_NA_00042_air,Air,"Moosehead Lake, ME ",Northern Forests,Fall,42660,0.675694444444444,Sunset,0.00831018518518518,702T+744T,8040 + 8070,ORTF+AB,48 Khz,24 Bit,Northeastern,Region 1,
00043,,WT_AUD_WLD_NA_00043_air,Air,"Moosehead Lake, ME ",Northern Forests,Fall,42660,0.703472222222222,Sunset,0.00751157407407407,702T+744T,8040 + 8070,ORTF+AB,48 Khz,24 Bit,Northeastern,Region 1,
00044,✄,WT_AUD_WLD_NA_00044_air,Air,"Moosehead Lake, ME ",Northern Forests,Fall,42660,0.541666666666667,Afternoon,0.00824074074074074,702T+744T,8040 + 8070,ORTF+AB,48 Khz,24 Bit,Northeastern,Region 1,
00045,✄,WT_AUD_WLD_NA_00045_hyb,Hybrid,"Moosehead Lake, ME ",Northern Forests,Fall,42660,0.270833333333333,Sunrise,0.00678240740740741,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 1,
00046,,WT_AUD_WLD_NA_00046_wat,Water,"Moosehead Lake, ME ",Northern Forests,Fall,42660,0.270833333333333,Sunrise,0.0037037037037037,702T+744T,8040 + 8070,ORTF+AB,48 Khz,24 Bit,Northeastern,Region 1,
00047,,WT_AUD_WLD_NA_00047_hyb,Hybrid,"Moosehead Lake, ME ",Northern Forests,Fall,42660,0.291666666666667,Sunrise,0.00915509259259259,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 1,
00048,✄,WT_AUD_WLD_NA_00048_air,Air,"Debsconeag Lakes Wilderness, ME",Northern Forests,Fall,42661,0.6875,Afternoon,0.00939814814814815,702T+744T,8040 + 8070,ORTF+AB,48 Khz,24 Bit,Northeastern,Region 1,
00049,,WT_AUD_WLD_NA_00049_air,Air,"Debsconeag Lakes Wilderness, ME",Northern Forests,Fall,42661,0.708333333333333,Afternoon,0.0120949074074074,702T+744T,8040 + 8070,ORTF+AB,48 Khz,24 Bit,Northeastern,Region 1,
00050,✄,WT_AUD_WLD_NA_00050_air,Air,"Debsconeag Lakes Wilderness, ME",Northern Forests,Fall,42661,0.708333333333333,Afternoon,0.00405092592592593,702T+744T,8040 + 8070,ORTF+AB,48 Khz,24 Bit,Northeastern,Region 1,
00051,✄,WT_AUD_WLD_NA_00051_air,Air,"Debsconeag Lakes Wilderness, ME",Northern Forests,Fall,42661,0.708333333333333,Afternoon,0.00663194444444445,702T+744T,8040 + 8070,ORTF+AB,48 Khz,24 Bit,Northeastern,Region 1,
00052,,WT_AUD_WLD_NA_00052_air,Air,"Baxter SP, ME ",Northern Forests,Fall,42662,0.75,Sunset,0.00835648148148148,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 1,
00053,,WT_AUD_WLD_NA_00053_air,Air,"Baxter SP, ME",Northern Forests,Fall,42662,0.75,Sunset,0.00944444444444444,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 1,
00054,,WT_AUD_WLD_NA_00054_air,Air,"Baxter SP, ME",Northern Forests,Fall,42662,0.75,Sunset,0.00920138888888889,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 1,
00055,✄,WT_AUD_WLD_NA_00055_air,Air,"Baxter SP, ME",Northern Forests,Fall,42662,0.75,Sunset,0.00865740740740741,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 1,
00056,,WT_AUD_WLD_NA_00056_air,Air,"Downeast Lakes CF, ME",Eastern Temperate Forests,Fall,42663,0.548611111111111,Afternoon,0.0116319444444444,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 1,
00057,,WT_AUD_WLD_NA_00057_air,Air,"Downeast Lakes CF, ME",Eastern Temperate Forests,Fall,42663,0.5875,Afternoon,0.0104861111111111,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 1,
00058,,WT_AUD_WLD_NA_00058_air,Air,"Downeast Lakes CF, ME",Eastern Temperate Forests,Fall,42663,0.604166666666667,Afternoon,0.01375,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 1,
00059,,WT_AUD_WLD_NA_00059_air,Air,"Downeast Lakes CF, ME ",Eastern Temperate Forests,Fall,42663,0.623611111111111,Afternoon,0.0136111111111111,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 1,
00060,,WT_AUD_WLD_NA_00060_air,Air,"Downeast Lakes CF, ME",Eastern Temperate Forests,Fall,42663,0.639583333333333,Afternoon,0.0137268518518519,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 1,
00061,,WT_AUD_WLD_NA_00061_air,Air,"Downeast Lakes CF, ME",Eastern Temperate Forests,Fall,42663,0.654861111111111,Afternoon,0.00715277777777778,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 1,
00062,,WT_AUD_WLD_NA_00062_air,Air,"Downeast Lakes CF, ME",Eastern Temperate Forests,Fall,42663,0.754861111111111,Sunset,0.0136226851851852,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 1,
00063,,WT_AUD_WLD_NA_00063_air,Air,"Downeast Lakes CF, ME",Eastern Temperate Forests,Fall,42663,0.780555555555556,Sunset,0.0138194444444444,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 1,
00064,,WT_AUD_WLD_NA_00064_air,Air,"Downeast Lakes CF, ME",Eastern Temperate Forests,Fall,42663,0.809027777777778,Sunset,0.0110532407407407,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 1,
00065,,WT_AUD_WLD_NA_00065_wat,Water,"Acadia NP, ME",Northern Forests,Fall,42668,N/A,Afternoon,0.00418981481481482,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 1,
00066,✄,WT_AUD_WLD_NA_00066_air,Air,"Ocala NF, FL",Eastern Temperate Forests,Winter,42779,0.407638888888889,Morning,0.0126041666666667,688T,8040 + 8070,NOS+AB,96 Khz,24 Bit,Southeastern,Region 4,
00067,✄,WT_AUD_WLD_NA_00067_air,Air,"Ocala NF, FL",Eastern Temperate Forests,Winter,42779,0.425694444444445,Morning,0.0152430555555556,688T,8040 + 8070,NOS+AB,96 Khz,24 Bit,Southeastern,Region 4,
00068,✄,WT_AUD_WLD_NA_00068_air,Air,"Ocala NF, FL",Eastern Temperate Forests,Winter,42779,0.448611111111111,Morning,0.0134722222222222,688T,8040 + 8070,NOS+AB,96 Khz,24 Bit,Southeastern,Region 4,
00069,✄,WT_AUD_WLD_NA_00069_air,Air,"Ocala NF, FL",Eastern Temperate Forests,Winter,42779,0.466666666666667,Morning,0.0125694444444444,688T,8040 + 8070,NOS+AB,96 Khz,24 Bit,Southeastern,Region 4,
00070,✄,WT_AUD_WLD_NA_00070_air,Air,"Ocala NF, FL",Eastern Temperate Forests,Winter,42779,0.481944444444444,Morning,0.0179861111111111,688T,8040 + 8070,NOS+AB,96 Khz,24 Bit,Southeastern,Region 4,
00071,✄,WT_AUD_WLD_NA_00071_air,Air,"Ocala NF, FL",Eastern Temperate Forests,Winter,42779,0.507638888888889,Afternoon,0.0141550925925926,688T,8040 + 8070,NOS+AB,96 Khz,24 Bit,Southeastern,Region 4,
00072,,WT_AUD_WLD_NA_00072_air,Air,"Ocala NF, FL",Eastern Temperate Forests,Winter,42780,0.136805555555556,Night,0.0341666666666667,688T,8040 + 8070,NOS+AB,96 Khz,24 Bit,Southeastern,Region 4,
00073,,WT_AUD_WLD_NA_00073_air,Air,"Myakka River SP, FL ",Eastern Temperate Forests,Winter,42782,0.419444444444444,Morning,0.00210648148148148,688T,8040 + 8070,NOS+AB,96 Khz,24 Bit,Southeastern,Region 4,
00074,,WT_AUD_WLD_NA_00074_air,Air,"Myakka River SP, FL",Eastern Temperate Forests,Winter,42782,0.428472222222222,Morning,0.00782407407407407,688T,8040 + 8070,NOS+AB,96 Khz,24 Bit,Southeastern,Region 4,
00075,,WT_AUD_WLD_NA_00075_air,Air,"Myakka River SP, FL",Eastern Temperate Forests,Winter,42782,0.451388888888889,Morning,0.0135648148148148,688T,8040 + 8070,NOS+AB,96 Khz,24 Bit,Southeastern,Region 4,
00076,,WT_AUD_WLD_NA_00076_air,Air,"Myakka River SP, FL",Eastern Temperate Forests,Winter,42782,0.467361111111111,Morning,0.0173032407407407,688T,8040 + 8070,NOS+AB,96 Khz,24 Bit,Southeastern,Region 4,
00077,,WT_AUD_WLD_NA_00077_air,Air,"Myakka River SP, FL",Eastern Temperate Forests,Winter,42782,0.488888888888889,Morning,0.0112268518518519,688T,8040 + 8070,NOS+AB,96 Khz,24 Bit,Southeastern,Region 4,
00078,,WT_AUD_WLD_NA_00078_air,Air,"Myakka River SP, FL",Eastern Temperate Forests,Winter,42782,0.511111111111111,Afternoon,0.0148611111111111,688T,8040 + 8070,NOS+AB,96 Khz,24 Bit,Southeastern,Region 4,
00079,✄,WT_AUD_WLD_NA_00079_air,Air,"Myakka River SP, FL",Eastern Temperate Forests,Winter,42782,0.530555555555556,Afternoon,0.0062037037037037,688T,8040 + 8070,NOS+AB,96 Khz,24 Bit,Southeastern,Region 4,
00080,,WT_AUD_WLD_NA_00080_air,Air,"Myakka River SP, FL",Eastern Temperate Forests,Winter,42783,0.357638888888889,Morning,0.0162847222222222,688T,8040 + 8070,NOS+AB,96 Khz,24 Bit,Southeastern,Region 4,
00081,,WT_AUD_WLD_NA_00081_air,Air,"Myakka River SP, FL",Eastern Temperate Forests,Winter,42783,0.314583333333333,Sunrise,0.00644675925925926,688T,8040 + 8070,NOS+AB,96 Khz,24 Bit,Southeastern,Region 4,
00082,,WT_AUD_WLD_NA_00082_air,Air,"Myakka River SP, FL",Eastern Temperate Forests,Winter,42783,0.321527777777778,Sunrise,0.036099537037037,688T,8040 + 8070,NOS+AB,96 Khz,24 Bit,Southeastern,Region 4,
00083,,WT_AUD_WLD_NA_00083_air,Air,"Myakka River SP, FL",Eastern Temperate Forests,Winter,42783,0.357638888888889,Morning,0.00246527777777778,688T,8040 + 8070,NOS+AB,96 Khz,24 Bit,Southeastern,Region 4,
00084,,WT_AUD_WLD_NA_00084_air,Air,"Myakka River SP, FL",Eastern Temperate Forests,Winter,42783,0.384722222222222,Morning,0.0168981481481481,688T,8040 + 8070,NOS+AB,96 Khz,24 Bit,Southeastern,Region 4,
00085,,WT_AUD_WLD_NA_00085_air,Air,"Myakka River SP, FL",Eastern Temperate Forests,Winter,42783,0.414583333333333,Morning,0.00805555555555556,688T,8040 + 8070,NOS+AB,96 Khz,24 Bit,Southeastern,Region 4,
